HudongItem,relation,NewNode
KCL,located in the administrative territorial entity,兰贝斯区
DDT,part of,111-trichloro-22-bis-(4-chlorophenyl)ethane metabolic process
莠去津,part of,atrazine catabolic process to isopropylamine
世高,father,段正
六氯苯,subject has role,Fungicides Industrial
氯氰菊酯,subject has role,杀虫剂
寡雄腐霉,parent taxon,腐霉
硅藻土,said to be the same as,Diatomite
百草枯,has effect,Paraquat exposure
胺菊酯,subject has role,杀虫剂
烯啶虫胺,subclass of,新烟碱
四溴菊酯,instance of,group of stereoisomers
草丁膦,instance of,外消旋混合物
晚疫病,instance of,生物分类单元
速灭磷,has effect,Mevinphos exposure
四氟苯菊酯,subject has role,杀虫剂
KCL,location,伦敦
DDT,part of,response to DDT
莠去津,part of,atrazine catabolic process to cyanuric acid
世高,mother,周氏(段豸母)
烯啶虫胺,subject has role,杀虫剂
四溴菊酯,subclass of,aromatic ether
imidacloprid,instance of,杀虫剂
二嗪磷,instance of,杀虫剂
KCL,member of,罗素大学集团
DDT,has effect,DDT exposure
莠去津,has effect,atrazine exposure
世高,spouse,焦氏(段豸妻)
袁庄村,instance of,行政村
特鲁希略州,instance of,委内瑞拉州份
提莫非维小麦,instance of,生物分类单元
天山赖草,instance of,生物分类单元
斯佩耳特小麦,instance of,生物分类单元
四溴菊酯,subclass of,羧酸酯
imidacloprid,subclass of,新烟碱
二嗪磷,instance of,Class IIIA combustible liquid
草丁膦,part of,phosphinothricin metabolic process
晚疫病,parent taxon,疫霉
丁草胺,subject has role,致癌物质
KCL,member of,开放研究员和贡献者标识符
DDT,topic's main category,Category:DDT
特鲁希略州,country,委内瑞拉
imidacloprid,subclass of,pyridines
二嗪磷,has effect,Diazinon exposure
草丁膦,part of,phosphinothricin catabolic process
晚疫病,has effect,late blight of potato
KCL,member of,Jisc
世高,languages spoken written or signed,近代汉语
袁庄村,located in the administrative territorial entity,胙城乡
特鲁希略州,capital,特鲁希略
提莫非维小麦,parent taxon,Triticum
四溴菊酯,subclass of,有机溴化合物
imidacloprid,subclass of,imidazoline
二嗪磷,subject has role,乙醯胆碱酯酶抑制剂
草丁膦,part of,phosphinothricin biosynthetic process
晚疫病,topic's main category,Category:Phytophthora infestans
KCL,member of,Digital Preservation Coalition
袁庄村,located in time zone,东八区
特鲁希略州,located in the administrative territorial entity,委内瑞拉
提莫非维小麦,basionym,Triticum dicoccon var. timopheevii
天山赖草,basionym,Elymus tianschanicus
斯佩耳特小麦,parent taxon,Triticum
四溴菊酯,subclass of,cyclopropane
imidacloprid,part of,response to imidacloprid
二嗪磷,subject has role,杀虫剂
草丁膦,subject has role,酶抑制剂
KCL,member of,金三角名校
DDT,safety classification and labelling,NFPA 704: Standard System for the Identification of the Hazards of Materials for Emergency Response
世高,occupation,政治人物
特鲁希略州,legislative body,Legislative Council of Trujillo
提莫非维小麦,IUCN conservation status,无危物种
四溴菊酯,subclass of,杀虫剂
imidacloprid,active ingredient in,Gaucho
KCL,member of,LIGO科学团队
DDT,on focus list of Wikimedia project,WikiProject Zika Corpus
特鲁希略州,language used,Wayuu语
斯佩耳特小麦,has effect,麸质敏感性肠病
imidacloprid,medical condition treated,弓蛔虫病
KCL,member of,万维网联盟
特鲁希略州,contains administrative territorial entity,安德雷斯贝略市
斯佩耳特小麦,topic's main category,Category:Triticum spelta
imidacloprid,medical condition treated,acariasis
KCL,member of,欧洲大学协会
特鲁希略州,contains administrative territorial entity,博科诺市
imidacloprid,medical condition treated,dirofilariasis
KCL,affiliation,伦敦大学
特鲁希略州,contains administrative territorial entity,玻利瓦尔市
KCL,parent organization,伦敦大学
特鲁希略州,contains administrative territorial entity,坎德拉里亚市
imidacloprid,medical condition treated,hookworm disease
KCL,subsidiary,Menzies Centre for Australian Studies King's College London University of London
特鲁希略州,contains administrative territorial entity,卡拉切市
imidacloprid,medical condition treated,toxascariasis
KCL,owner of,Champion Hill
特鲁希略州,contains administrative territorial entity,卡瓦哈尔市
imidacloprid,subject has role,cholinergic agent
KCL,headquarters location,伦敦
特鲁希略州,contains administrative territorial entity,坎波埃利亚斯市
imidacloprid,subject has role,杀虫剂
KCL,located on street,丹麦山
特鲁希略州,contains administrative territorial entity,埃斯库克市
KCL,topic's main category,Category:伦敦国王学院
特鲁希略州,contains administrative territorial entity,拉塞瓦市
KCL,category of associated people,Category:People associated with King's College London
特鲁希略州,contains administrative territorial entity,马奎斯卡尼萨莱斯市
KCL,category for alumni of educational institution,Category:伦敦国王学院校友
特鲁希略州,contains administrative territorial entity,米兰达市
KCL,historic county,米德塞克斯
特鲁希略州,contains administrative territorial entity,蒙特卡梅隆市
特鲁希略州,contains administrative territorial entity,莫塔坦市
特鲁希略州,contains administrative territorial entity,潘潘市
特鲁希略州,contains administrative territorial entity,潘帕尼托市
特鲁希略州,contains administrative territorial entity,兰赫尔市
特鲁希略州,contains administrative territorial entity,苏克雷市
特鲁希略州,contains administrative territorial entity,特鲁希略市
特鲁希略州,contains administrative territorial entity,乌达内塔市
特鲁希略州,contains administrative territorial entity,瓦莱拉市
特鲁希略州,shares border with,苏利亚州
特鲁希略州,shares border with,拉腊州
特鲁希略州,shares border with,波图格萨州
特鲁希略州,shares border with,巴里纳斯州
特鲁希略州,shares border with,梅里达州
特鲁希略州,topic's main category,Category:Trujillo (state)
特鲁希略州,category for maps,Category:Maps of Trujillo (state)
